,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
spit,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
flat,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
probabl,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
irishman,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
spectacl,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
bandsman,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
privileg,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
mischief,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
brush,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,,,,,,,,,,,,,,,,,,,,,
hopeless,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,,,,
chariti,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,
gun',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
forbidden,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
tail,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,,,,,,,,,,,,,,,,,,
undress,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
sun',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
laughingstock,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
mound,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
suffici,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,
stamped,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
unmilitari,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
majesty',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
stirrup,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
burial,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,,,,,
camp,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
offenc,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,
martyn,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
bar,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,
shift,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
hock,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
detest,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
exceed,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
flank,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
wheel,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,
distant,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
mock,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
furlong,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
neighbor,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
event,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,
incid,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,
rider,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
conclud,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
host,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
flop,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
trade,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,
soldierli,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
fontenoy,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
obvious,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
brigad,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
individu,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
manoeuvr,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
drape,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
hell,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
flagrant,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
smear,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
appropri,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
jolt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,,,
beat,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,,
they'r,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
hogan,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
carbin,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
terrifi,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
unborn,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
pith,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
field,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,
inner,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,,
spoken,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,
reconcil,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
reduc,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
shiver,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
statu,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
biggest,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
nobody',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
notabl,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
reuben,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
pluffles',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
fiance,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
reli,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
coo,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,
issu,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
rib,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
weeks',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
cattl,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
confid,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,,,,,,,,,,,,,,,,,,,,,
canari,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
callow,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
allegi,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
thankless,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
drain,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,
fervent,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
opal,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
tumbl,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
discours,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
octob,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
hay,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
quaver,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
umbrella,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
blossom,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
limp,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,,,,,,,,,,,,,,,,,,,,,,
tenth,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
will,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
hamilton',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
august,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,,,
windward,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
captur,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
resist,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
prey,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
unwis,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
relief,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
rescu,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
setter,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
superb,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
elysium,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
wing,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
reiver',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
keeper,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
honesti,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
hauksbee',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
hazi,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
pluffl,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
pelt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
intend,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
reproach,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
chaperonag,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
snaffl,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
interfer,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
clergyman,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
seat,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,,,
decay,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,,,,,,,,,,,,,,,,,,,,,,
gay,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
tonga,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,,,
discountenanc,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
boyish,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
simpli,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,,
conceit,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,,,,,,,,,,,,,,,,,,,,,,
otherwis,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
pluffi,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
stubborn,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
purs,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
mighti,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
lady',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
folli,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,,,,
brittany',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
unmention,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
mainli,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
allus,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
clash,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
fenc,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
fetch,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,
sigh,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
coerc,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
jakko,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,,,
incomplet,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
soft,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,
hunt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,
pave,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
homili,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,,
